Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
azure-webjobs-hosts,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-remediation-demo-resources/providers/microsoft.storage/storageaccounts/wizremediationdemorbuu6t/blobservices/default/containers/azure-webjobs-hosts,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-remediation-demo-resources/providers/microsoft.storage/storageaccounts/wizremediationdemorbuu6t/blobservices/default/containers/azure-webjobs-hosts,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",northeurope,"{""wiz-remediation-demo"": ""true""}",BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:49:03Z
wiz-demo-auto-remidation-without-logging-and-versioning,arn:aws:s3:::wiz-demo-auto-remidation-without-logging-and-versioning,wiz-demo-auto-remidation-without-logging-and-versioning,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},BUCKET,bucket,2024-10-30T18:30:40Z
test-bucket-michae-germany,ocid1.bucket.oc1.eu-frankfurt-1.aaaaaaaaeobnfiyql3kwj3pwnobacwolvo4jkaaxdepkuia3f6txbezyhdbq,ocid1.bucket.oc1.eu-frankfurt-1.aaaaaaaaeobnfiyql3kwj3pwnobacwolvo4jkaaxdepkuia3f6txbezyhdbq,OCI,aminov,ocid1.compartment.oc1..aaaaaaaakdwckvimekkhloq5sohoupn2gjv46ipxyjui4flr4smfjwfyrp6q,"Acme,Acme Oracle App,OCI demo",eu-frankfurt-1,"{""Oracle-Tags.CreatedBy"": ""okta/michael.aminov@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-05-29T13:05:01.822Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:04:09Z
cf-templates-ms8zfpb3xoa0-eu-west-2,arn:aws:s3:::cf-templates-ms8zfpb3xoa0-eu-west-2,cf-templates-ms8zfpb3xoa0-eu-west-2,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-west-2,{},BUCKET,bucket,2024-10-30T20:05:13Z
elad-best-bucket,ocid1.bucket.oc1.iad.aaaaaaaad2waev3cf22cebfqx2bn5x4xdipr7372etyfcgsekpogn4uhpkta,ocid1.bucket.oc1.iad.aaaaaaaad2waev3cf22cebfqx2bn5x4xdipr7372etyfcgsekpogn4uhpkta,OCI,playgroundwiz,ocid1.tenancy.oc1..aaaaaaaagigkayqhmlcvctybckug2tjwur5y64prmbvpdzsnwxjqu6noxm2a,"Acme,Acme Oracle App,OCI demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-ashburn-1,"{""test-elad.owner"": ""2"", ""test-elad.owner2"": ""asd"", ""Oracle-Tags.CreatedBy"": ""elad.gabay@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2021-11-25T07:42:30.477Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:04:07Z
artifacts.centered-kiln-290213.appspot.com,https://www.googleapis.com/storage/v1/b/artifacts.centered-kiln-290213.appspot.com,gs://artifacts.centered-kiln-290213.appspot.com,GCP,demo-project,centered-kiln-290213,"App A,GCP Subscription Project ,Google Workspace _GCP Org Demo",us,{},BUCKET,storage#bucket,2024-10-30T19:29:23Z
alonbedrockdatabucket,arn:aws:s3:::alonbedrockdatabucket,alonbedrockdatabucket,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""Classification"": ""Confidential""}",BUCKET,bucket,2024-10-30T18:30:35Z
moran-not-public-acme-prod,https://www.googleapis.com/storage/v1/b/moran-not-public-acme-prod,gs://moran-not-public-acme-prod,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us,{},BUCKET,storage#bucket,2024-10-30T19:25:40Z
wiz-outpost-oron-test-3-bucket,ocid1.bucket.oc1.iad.aaaaaaaaqfqlp6pplvgpmvhvo4h2dlmlenktllcbzjwrfmehpjdw6au6zzrq,ocid1.bucket.oc1.iad.aaaaaaaaqfqlp6pplvgpmvhvo4h2dlmlenktllcbzjwrfmehpjdw6au6zzrq,OCI,wiz-outpost-oron-test-3,ocid1.compartment.oc1..aaaaaaaa2djcdrpqbi7bmp7jhiy2vmegjmkdaokslrk25orjz77ueeccps7a,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/oron.noah@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2022-06-26T18:19:38.083Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:03:17Z
azure-webjobs-hosts,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/us2eastrg/providers/microsoft.storage/storageaccounts/storageaccountus2eab2da/blobservices/default/containers/azure-webjobs-hosts,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/us2eastrg/providers/microsoft.storage/storageaccounts/storageaccountus2eab2da/blobservices/default/containers/azure-webjobs-hosts,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus2,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:55Z
