Name,ID,Category,Classifier,Unique Matches,Total Matches,Wiz Url,Projects,Resource Name,Region,Created At,Resource Type,Resource Native Type,Resource External ID,Subscription ID,Cloud Provider,Encryption At Rest,Encryption In Transit,Resource Status,PaaS,Severity,Finding Examples
DigitalIdentity/IP Address,https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443/##BUILTIN-438,DataCategoryDigitalIdentity,IP Address,300,316,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'2c259008-2b17-5b63-8d28-e7be1aac3521*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443,,2023-12-31T18:34:23.255256Z,CloudPlatform/Endpoint,,https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443/,984186218765,AWS,false,false,,false,INFO,"[{""path"":""https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443"",""key"":""ip_address"",""location"":""[0]/ip_address"",""value"":""1.***.2***2"",""evidenceId"":""4cd95da803780ce8c4cf5615e9542867"",""contentSizeBytes"":92954},{""path"":""Screenshot - https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443"",""key"":""ip_address"",""value"":""1.***.2***2"",""evidenceId"":""cbd5f4ad751a69b6a455942e9097237a"",""contentSizeBytes"":61443},{""path"":""https://a3lnvsarxad6q7dxakw2cdb4e40ngovq.lambda-url.eu-central-1.on.aws:443"",""key"":""ip_address"",""location"":""[7]/ip_address"",""value"":""91***5.****3"",""evidenceId"":""4cd95da803780ce8c4cf5615e9542867"",""contentSizeBytes"":92954}]"
PII/Phone Number - Corp,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##CUSTOM-6ab8babd-20e8-41b2-9aa1-500638432f1d,DataCategoryPII,Phone Number - Corp,30,30,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'09e3a7f1-00dd-53d2-b583-aa7c4a60f65c*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-04-09T11:12:52.931063Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,CRITICAL,"[{""path"":""sample-data.csv"",""key"":""phone"",""value"":""20***21****6"",""evidenceId"":""36c04af9a18fd399ed893e82f07aa992"",""contentSizeBytes"":4750}]"
PII/Email,file-qJGtgVX5UTZpEaRv1RQbrjtr##BUILTIN-1,DataCategoryPII,Email,105,106,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'edd8546d-efd5-560a-91d0-e4af04894bca*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train.jsonl,,2024-01-10T15:21:19.662584Z,CloudPlatform/AiDataset,openai#file,file-qJGtgVX5UTZpEaRv1RQbrjtr,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train.jsonl"",""key"":""prompt"",""value"":""n***@wiz.com"",""evidenceId"":""146b60ee9f4d7aec1c8a5af547857639"",""contentSizeBytes"":12776}]"
PII/GPS Location,2624179090599859579##BUILTIN-472,DataCategoryPII,GPS Location,452,3996,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'fe6cb8ba-3bb2-5727-9340-d4b98cc6f023*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",python-20230628-110507,us-west1,2024-10-15T23:40:42.014576Z,CloudPlatform/VirtualMachine,compute#instance,2624179090599859579,acme-prod-env,GCP,false,false,Active,false,MEDIUM,"[{""path"":""/[Partition=366e2fba]/tutorials/vertex_samples/official/pipelines/sample_data/california_housing_test.csv"",""key"":""longitude"",""value"":""1**"",""evidenceId"":""c8480bada1f73e90e810a8f36d867ba6"",""contentSizeBytes"":301141},{""path"":""/[Partition=366e2fba]/tutorials/vertex_samples/official/pipelines/sample_data/california_housing_train.csv"",""key"":""longitude"",""value"":""1**"",""evidenceId"":""fd37651efaa1d9a226113ef87002741e"",""contentSizeBytes"":1706430},{""path"":""/[Partition=366e2fba]/tutorials/vertex_samples/official/pipelines/sample_data/california_housing_test.csv"",""key"":""longitude"",""value"":""1**"",""evidenceId"":""c8480bada1f73e90e810a8f36d867ba6"",""contentSizeBytes"":301141}]"
PII/Email,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-1,DataCategoryPII,Email,289,289,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'81988b9a-2c99-53b2-92ee-3f5d698ebff0*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2023-08-19T01:03:43.946078Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,CRITICAL,"[{""path"":""persons.public.personsrecords"",""key"":""E Mail"",""value"":""y***@gmail.com"",""evidenceId"":""82ea79912c9190ead4ce1da1e6b72bc6""}]"
PII/Name,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-125,DataCategoryPII,Name,50,51,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'f0c1da19-5588-5788-b634-9af8f9c68132*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-08-07T23:48:28.385587Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,INFO,"[{""path"":""persons.public.personsrecords"",""key"":""User ---REDACTED---"",""value"":""W****n"",""evidenceId"":""08cbbd5060bf363059b8618c5905a813""}]"
DigitalIdentity/IP Address,wiz-attack-simulation-bucket-560579d9##BUILTIN-438,DataCategoryDigitalIdentity,IP Address,999,999,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'94df9022-990d-56c0-bee6-faf844cd84cf*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",wiz-attack-simulation-bucket-560579d9,eu-central-1,2024-01-31T11:01:46.702518Z,CloudPlatform/Bucket,bucket,wiz-attack-simulation-bucket-560579d9,984186218765,AWS,true,false,Active,false,INFO,"[{""path"":""dummy_data.txt"",""key"":""ip_address"",""value"":""20***36****5"",""evidenceId"":""be8181d5b421215b9de981d649ceb50b"",""contentSizeBytes"":79062}]"
PII/Email,file-xbNRgumMd4jJLv9KSoZ0eTaf##BUILTIN-1,DataCategoryPII,Email,105,106,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'4ca58c17-6e2a-581f-83a2-9746207edab4*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,openaie2e-1704636162343049369-3930Test.jsonl,,2024-01-15T14:16:55.038274Z,CloudPlatform/AiDataset,openai#file,file-xbNRgumMd4jJLv9KSoZ0eTaf,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""openaie2e-1704636162343049369-3930Test.jsonl"",""key"":""prompt"",""value"":""n***@wiz.com"",""evidenceId"":""d794aa054bdf7c03bb93ce47cc034eb8"",""contentSizeBytes"":12776}]"
PII/Name,exposed-data-bucket##BUILTIN-125,DataCategoryPII,Name,857,864,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'99ae2159-aaee-5563-b97c-2e6905df49f0*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",exposed-data-bucket,us-west-2,2024-04-04T22:26:12.340407Z,CloudPlatform/Bucket,bucket,exposed-data-bucket,984186218765,AWS,true,false,Active,false,CRITICAL,"[{""path"":""userdata1.csv"",""key"":""first_name/last_name"",""value"":""Sh*** A***s"",""evidenceId"":""af0d3df4a2f03ece066ef3a44ac0fb0c"",""contentSizeBytes"":145923}]"
PII/Email,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-1,DataCategoryPII,Email,30,30,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'dbbc7303-159b-579f-8a71-850af52b2aad*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-07-01T21:47:29.744962Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,HIGH,"[{""path"":""sample-data.csv"",""key"":""email"",""value"":""s***@domain.com"",""evidenceId"":""a11202eaac09ae3cf7a83f6f252c1911"",""contentSizeBytes"":4750}]"
PII/Name,company-logos-v2##BUILTIN-125,DataCategoryPII,Name,857,1728,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'2612c689-a046-501e-9b19-4324709e03c7*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",company-logos-v2,eu-central-1,2024-04-04T22:26:14.663622Z,CloudPlatform/Bucket,bucket,company-logos-v2,984186218765,AWS,true,false,Active,false,CRITICAL,"[{""path"":""userdata1.csv"",""key"":""first_name/last_name"",""value"":""Wi***e *****r"",""evidenceId"":""458b173f3edd62b8c934a0c5cf5a7ae0"",""contentSizeBytes"":145923},{""path"":""userdata1.parquet"",""key"":""First_name/Last_name"",""value"":""Am***a *****n"",""evidenceId"":""7f2b8b41a5f0dae52856564383c079e3""},{""path"":""userdata1.csv"",""key"":""first_name/last_name"",""value"":""St***n **...**on (17 chars)"",""evidenceId"":""458b173f3edd62b8c934a0c5cf5a7ae0"",""contentSizeBytes"":145923}]"
