Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
cosmosdbaccount-v01,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/developer-prod/providers/microsoft.documentdb/databaseaccounts/cosmosdbaccount-v01,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/developer-prod/providers/microsoft.documentdb/databaseaccounts/cosmosdbaccount-v01,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,"{""CosmosAccountType"": ""Non-Production"", ""defaultExperience"": ""Core (SQL)"", ""hidden-cosmos-mmspecial"": """", ""wizRemediationLastUpdatedUTC"": ""29/09/2024 08:36:57 UTC""}",DB_SERVER,Microsoft.DocumentDB/databaseAccounts,2024-10-30T19:49:13Z
generic-appserver,,i-0a4a21a13e84c5789##CloudPlatform/DBServer##/var/lib/postgresql/14/main,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-west-2,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T17:14:35Z
nrt-mysql-instance,https://sqladmin.googleapis.com/sql/v1beta4/projects/acme-prod-env/instances/nrt-mysql-instance,acme-prod-env__nrt-mysql-instance,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-central1,"{""owner"": ""jd""}",DB_SERVER,sql#instance,2024-10-30T19:25:38Z
classifieddb,arn:aws:rds:eu-central-1:984186218765:db:classifieddb,arn:aws:rds:eu-central-1:984186218765:db:classifieddb,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,rds/MySQL/instance,2024-10-30T18:30:10Z
demo-gcp-pii,https://sqladmin.googleapis.com/sql/v1beta4/projects/acme-prod-env/instances/demo-gcp-pii,acme-prod-env__demo-gcp-pii,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west1,{},DB_SERVER,sql#instance,2024-10-30T19:25:38Z
DATABASE_2,DATABASE_2,QTREIVX#SANDBOXCONNECTOR#DATABASE_2,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
AlonDBTest,23445,23445,Linode,B5F41BA9-0189-4534-B39B0BC67FB732F3,B5F41BA9-0189-4534-B39B0BC67FB732F3,,us-southeast,{},DB_SERVER,linode/databases/mysql,2024-10-30T19:42:32Z
customer-tracing,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.sql/servers/customer-tracing,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.sql/servers/customer-tracing,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:23Z
database-pii,arn:aws:rds:us-east-2:984186218765:db:database-pii,arn:aws:rds:us-east-2:984186218765:db:database-pii,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,{},DB_SERVER,rds/MySQL/instance,2024-10-30T18:30:13Z
ofer-test,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/ofer-test,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/ofer-test,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:32Z
