,id,providerUniqueId,name,type,projects,firstSeen,lastSeen,properties._environments,properties._productIDs,properties._techIDs,properties._vertexID,properties.atRestEncryption,properties.cloudPlatform,properties.cloudProviderURL,properties.creationDate,properties.externalId,properties.fullResourceName,properties.hasBackups,properties.isManaged,properties.isPaaS,properties.kind,properties.name,properties.nativeType,properties.providerUniqueId,properties.region,properties.regionLocation,properties.requiresSSL,properties.resourceGroupExternalId,properties.sizeGB,properties.status,properties.subscriptionExternalId,properties.updatedAt,properties.version,properties.zone,properties.architecture,properties.deploymentCoverage_sensor_deploymentStatus,properties.deploymentCoverage_sensor_recommendedSensorType,properties.deploymentCoverage_sensor_supported,properties.instanceType,properties.isContainerHost,properties.isEphemeral,properties.isFromAWSMarketplace,properties.memoryGB,properties.operatingSystem,properties.passwordAuthDisabled,properties.tags.Name,properties.totalDisks,properties.vCPUs,properties.encrypted,properties.encryptionInTransit,properties.isPublic,properties.loggingEnabled,properties.publicExposure,properties.regionType,properties.retentionPeriod,properties.versioningEnabled,properties.webHostingEnabled,properties.tags.stop_EST,properties.tags.Owner,properties.tags.Purpose,properties.tags.SE_DEMO,properties.tags.start_EST,Finding ID,Category,Classifier,Unique Matches,Total Matches,Severity,Finding Examples
0,dafc357c-aaa4-56a8-81e5-df217a2ac43e,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,dqse-postgres,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:16:42.040562Z,2024-12-13T05:41:04Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,10015,dafc357c-aaa4-56a8-81e5-df217a2ac43e,True,AWS,https://us-east-1.console.aws.amazon.com/rds/home?region=us-east-1#database:id=dqse-postgres;is-cluster=false,2022-11-14T14:55:46.368Z,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,,True,True,True,PostgreSQL,dqse-postgres,rds/PostgreSQL/instance,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,us-east-1,US,False,,200.0,Active,482457381153,2024-12-13T05:41:07Z,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres##BUILTIN-125,DataCategoryPII,Name,67,123,HIGH,"[{""path"":""postgres.dqse.hr_roster"",""key"":""first_name/last_name"",""value"":""An***ie**...**an (16 chars)"",""evidenceId"":""2b4b66b12f23044fd24d62d6c9332436""},{""path"":""postgres.dqse.sales_data"",""key"":""first_name/last_name"",""value"":""Ba*** C****r"",""evidenceId"":""8f691c114b269c7310a3109fc2d1bc26""},{""path"":""postgres.dqse.hr_data"",""key"":""first_name/last_name"",""value"":""An***ie**...**an (16 chars)"",""evidenceId"":""087fa9d2bddd4e0e7dc26942d5d521e9""},{""path"":""postgres.dqse.geospat_data"",""key"":""first_name/last_name"",""value"":""Su***ne**...**mp (17 chars)"",""evidenceId"":""90c136fb481729194b95789563438a75""},{""path"":""postgres.dqse.gis_data"",""key"":""first_name/last_name"",""value"":""Da***a ****e"",""evidenceId"":""d107e9002dd1b45f14bbc5df3c24c7bb""},{""path"":""postgres.dqse.sales_addr_data"",""key"":""first_name/last_name"",""value"":""Ba*** C****r"",""evidenceId"":""71b21a5ad9be8e12d9170f0298fd440b""},{""path"":""postgres.dqse.patient_data"",""key"":""first_name/last_name"",""value"":""Co*** C****h"",""evidenceId"":""081911a8086327cb42f6df81f36f2018""},{""path"":""postgres.dqse.hr_roster"",""key"":""first_name/last_name"",""value"":""Vi***ri*******n"",""evidenceId"":""2b4b66b12f23044fd24d62d6c9332436""},{""path"":""postgres.dqse.sales_data"",""key"":""first_name/last_name"",""value"":""Ze**G****s"",""evidenceId"":""8f691c114b269c7310a3109fc2d1bc26""},{""path"":""postgres.dqse.hr_data"",""key"":""first_name/last_name"",""value"":""Is***ll*****d"",""evidenceId"":""087fa9d2bddd4e0e7dc26942d5d521e9""},{""path"":""postgres.dqse.gis_data"",""key"":""first_name/last_name"",""value"":""Su***ne**...**mp (17 chars)"",""evidenceId"":""d107e9002dd1b45f14bbc5df3c24c7bb""},{""path"":""postgres.dqse.sales_addr_data"",""key"":""first_name/last_name"",""value"":""Ze**G****s"",""evidenceId"":""71b21a5ad9be8e12d9170f0298fd440b""},{""path"":""postgres.dqse.patient_data"",""key"":""first_name/last_name"",""value"":""P** ***s"",""evidenceId"":""081911a8086327cb42f6df81f36f2018""}]"
1,48ae1348-1519-54a1-b034-b077288a7c8c,,NAMER_ENTERPRISE_CDQ_DONOTDELETE,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T20:40:33.207869Z,2024-12-12T11:13:01Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,2024,48ae1348-1519-54a1-b034-b077288a7c8c,,AWS,,,i-07faaca25dffd6d4a##CloudPlatform/DBServer##/home/collibradq/owl/postgres/data,,,False,False,PostgreSQL,NAMER_ENTERPRISE_CDQ_DONOTDELETE,HostedTechnologyConfigurationDBServer,,us-east-1,US,,,0.0,,482457381153,2024-11-26T22:36:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i-07faaca25dffd6d4a##CloudPlatform/DBServer##/home/collibradq/owl/postgres/data##BUILTIN-438,DataCategoryDigitalIdentity,IP Address,8,395,INFO,"[{""path"":""postgres.public.activity_audit"",""key"":""source_ip"",""location"":""source_ip"",""value"":""98***9.****7"",""evidenceId"":""08b080f45f7f021ed704720a448f7b2b""}]"
2,dafc357c-aaa4-56a8-81e5-df217a2ac43e,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,dqse-postgres,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:16:42.040562Z,2024-12-13T05:41:04Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,10015,dafc357c-aaa4-56a8-81e5-df217a2ac43e,True,AWS,https://us-east-1.console.aws.amazon.com/rds/home?region=us-east-1#database:id=dqse-postgres;is-cluster=false,2022-11-14T14:55:46.368Z,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,,True,True,True,PostgreSQL,dqse-postgres,rds/PostgreSQL/instance,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres,us-east-1,US,False,,200.0,Active,482457381153,2024-12-13T05:41:07Z,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arn:aws:rds:us-east-1:482457381153:db:dqse-postgres##BUILTIN-271,DataCategoryPHI,Drug Enforcement Agency (DEA) Number,6,26,LOW,"[{""path"":""postgres.dqse.patient_data"",""key"":""dea_number"",""location"":""dea_number"",""value"":""RX**1***6"",""evidenceId"":""2b8d99de2d7b0da13f808f9d850ffc5d""}]"
3,42444d16-0f1e-5612-90ca-2f64fb98246b,arn:aws:ec2:us-east-1:482457381153:instance/i-07faaca25dffd6d4a,NAMER_ENTERPRISE_CDQ_DONOTDELETE,VIRTUAL_MACHINE,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:16:34.160769Z,2024-12-13T05:41:00Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,3018,42444d16-0f1e-5612-90ca-2f64fb98246b,,AWS,https://us-east-1.console.aws.amazon.com/ec2/v2/home?region=us-east-1#InstanceDetails:instanceId=i-07faaca25dffd6d4a,2023-12-16T04:22:31Z,i-07faaca25dffd6d4a,,,True,,,NAMER_ENTERPRISE_CDQ_DONOTDELETE,virtualMachine,arn:aws:ec2:us-east-1:482457381153:instance/i-07faaca25dffd6d4a,us-east-1,US,,,,Active,482457381153,2024-12-13T05:35:07Z,,,x86_64,NotInstalled,LinuxVm,True,m5.4xlarge,False,False,True,64.0,Linux,False,NAMER_ENTERPRISE_CDQ_DONOTDELETE,1.0,16.0,,,,,,,,,,,,,,,i-07faaca25dffd6d4a##BUILTIN-496,DataCategoryPII,Age,3,8,INFO,"[{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.csv"",""key"":""age"",""value"":""**"",""evidenceId"":""070ff93944df237399c6321339a2e78a"",""contentSizeBytes"":49},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""423a3c4f6b8a72c5cdfda4460b38dde9"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""ba1f6a15ce6c80b05d44d5428498bb6e"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people_array.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""284015d881536292f1dffd99bd7cab33"",""contentSizeBytes"":122},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.csv"",""key"":""age"",""value"":""**"",""evidenceId"":""070ff93944df237399c6321339a2e78a"",""contentSizeBytes"":49},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""423a3c4f6b8a72c5cdfda4460b38dde9"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""ba1f6a15ce6c80b05d44d5428498bb6e"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people_array.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""284015d881536292f1dffd99bd7cab33"",""contentSizeBytes"":122}]"
4,49ed78ff-c7ca-5e1f-97e4-976df0ff3380,,creditacceptance-poc_edge,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T19:01:53.456893Z,2024-12-12T10:35:46Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,2024,49ed78ff-c7ca-5e1f-97e4-976df0ff3380,,AWS,,,i-0d5f49bdc2c559336##CloudPlatform/DBServer##/opt/owl/postgres/data,,,False,False,PostgreSQL,creditacceptance-poc_edge,HostedTechnologyConfigurationDBServer,,us-east-1,US,,,0.0,,482457381153,2024-11-26T22:36:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i-0d5f49bdc2c559336##CloudPlatform/DBServer##/opt/owl/postgres/data##BUILTIN-177,DataCategoryFinancial,Credit Score,1,1,LOW,"[{""path"":""postgres.public.rule_repo"",""key"":""FICO"",""location"":""rule_description"",""value"":""3**"",""evidenceId"":""d663f3a0e29f69aeb8da93c9785bd274""}]"
5,bd0c04a3-e4c7-515c-9f45-76edd0fc4c7a,arn:aws:s3:::confirmation-deletion-pending,confirmation-deletion-pending,BUCKET,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:17:23.827772Z,2024-12-13T05:41:28Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,3136,bd0c04a3-e4c7-515c-9f45-76edd0fc4c7a,,AWS,https://console.aws.amazon.com/s3/buckets/confirmation-deletion-pending?region=us-east-1,2024-05-18T06:17:34Z,confirmation-deletion-pending,,,,,,confirmation-deletion-pending,bucket,arn:aws:s3:::confirmation-deletion-pending,us-east-1,US,,,,Active,482457381153,2024-12-11T17:15:09Z,,,,,,,,,,,,,,,,,True,False,False,False,PublicExposureInvalid,BucketRegionTypeMultiRegion,0.0,False,False,,,,,,confirmation-deletion-pending##BUILTIN-32,DataCategoryPII,Phone Number,1647,9470,CRITICAL,"[{""path"":""cortesdq/LabExercises/CompanyA_BillToSOURCE_modified.csv"",""key"":""TEL_NUM"",""value"":""84***44****8"",""evidenceId"":""4e68378a6db87177a2acd69d5969221b"",""contentSizeBytes"":872605},{""path"":""cortesdq/LabExercises/CompanyA_BillTo_TARGET.csv"",""key"":""Phone"",""value"":""84***44****8"",""evidenceId"":""5eaf08e2f3ae74d01e9a554e57147784"",""contentSizeBytes"":1829717},{""path"":""cortesdq/LabExercises/CompanyB_BillTo.csv"",""key"":""Phone"",""value"":""84***44****8"",""evidenceId"":""01eeada64c0d948e52758815f5bb00be"",""contentSizeBytes"":538211},{""path"":""joshz-collibra-dq/moodys-orbis/address_dq.csv"",""key"":""telephone"",""value"":""80***89****5"",""evidenceId"":""4bf39d2fa5d0e0cf6aade07fe55892db"",""contentSizeBytes"":80340611},{""path"":""cortesdq/BCP_Workshop/data semiestructurada.csv"",""key"":""mobileNumber"",""value"":""32***55****0"",""evidenceId"":""b160340967526f5e64a9875234200424"",""contentSizeBytes"":120642307},{""path"":""cortesdq/DQ_Employee_generated.csv"",""key"":""phone"",""value"":""74***46*****6"",""evidenceId"":""716983ba323aea8b3c18284b4c2ac7e2"",""contentSizeBytes"":10574},{""path"":""destinationc/dest/party-table-record-4.json"",""key"":""phone.PhoneValue"",""location"":""/phone.PhoneValue"",""value"":""61***22****1"",""evidenceId"":""30f9ee2285fbbf4951225ff1518eccbd"",""contentSizeBytes"":269},{""path"":""joshz-collibra-dq/moodys-orbis/address_dq.csv"",""key"":""telephone"",""value"":""80***23****2"",""evidenceId"":""4bf39d2fa5d0e0cf6aade07fe55892db"",""contentSizeBytes"":80340611}]"
6,564d1e24-fa51-5313-9df2-b41e5325cc5d,arn:aws:ec2:us-east-1:482457381153:instance/i-06b600c5c519dace9,Hari_CDQ_main,VIRTUAL_MACHINE,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:16:31.979694Z,2024-12-13T05:40:59Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,3018,564d1e24-fa51-5313-9df2-b41e5325cc5d,,AWS,https://us-east-1.console.aws.amazon.com/ec2/v2/home?region=us-east-1#InstanceDetails:instanceId=i-06b600c5c519dace9,2023-09-09T19:24:37Z,i-06b600c5c519dace9,,,True,,,Hari_CDQ_main,virtualMachine,arn:aws:ec2:us-east-1:482457381153:instance/i-06b600c5c519dace9,us-east-1,US,,,,Inactive,482457381153,2024-12-11T12:57:44Z,,,x86_64,NotInstalled,LinuxVm,True,m5.4xlarge,False,False,True,64.0,Linux,False,Hari_CDQ_main,1.0,16.0,,,,,,,,,,,,,,,i-06b600c5c519dace9##BUILTIN-496,DataCategoryPII,Age,3,8,INFO,"[{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.csv"",""key"":""age"",""value"":""**"",""evidenceId"":""e8a543944ada2b03d6291330b1c786b1"",""contentSizeBytes"":49},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""c9e8d4a2622136f5bd284c848e843b75"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""fa47e3aa98be16b7ce605edfcb998e62"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people_array.json"",""key"":""age"",""location"":""[1]/age"",""value"":""**"",""evidenceId"":""4e820ba4923f0d94e05a18a6f1d90306"",""contentSizeBytes"":122},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.csv"",""key"":""age"",""value"":""**"",""evidenceId"":""e8a543944ada2b03d6291330b1c786b1"",""contentSizeBytes"":49},{""path"":""/home/collibradq/owl/spark/examples/src/main/resources/people.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""c9e8d4a2622136f5bd284c848e843b75"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""fa47e3aa98be16b7ce605edfcb998e62"",""contentSizeBytes"":73},{""path"":""/home/collibradq/owl/spark/python/test_support/sql/people_array.json"",""key"":""age"",""location"":""[2]/age"",""value"":""**"",""evidenceId"":""4e820ba4923f0d94e05a18a6f1d90306"",""contentSizeBytes"":122}]"
7,ffe4b44a-7476-5c75-8a00-2d10941086fb,,cw_js,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:45:43.233131Z,2024-12-12T10:29:37Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,2024,ffe4b44a-7476-5c75-8a00-2d10941086fb,,AWS,,,i-045d8c9d3dfcc6b4f##CloudPlatform/DBServer##/opt/collibra_data/console/pgsql-data,,,False,False,PostgreSQL,cw_js,HostedTechnologyConfigurationDBServer,,us-east-1,US,,,0.0,,482457381153,2024-11-26T22:36:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i-045d8c9d3dfcc6b4f##CloudPlatform/DBServer##/opt/collibra_data/console/pgsql-data##BUILTIN-438,DataCategoryDigitalIdentity,IP Address,2,6,INFO,"[{""path"":""console.console.user_authentication_events"",""key"":""ip_address"",""location"":""ip_address"",""value"":""10***5.*****1"",""evidenceId"":""77a16a3df6e02be48c3adefa978ca81f""}]"
8,580fd10c-fb37-542e-b1cc-7b284d56272a,arn:aws:s3:::as-dataquality,as-dataquality,BUCKET,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T18:17:22.180011Z,2024-12-13T05:41:27Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,3136,580fd10c-fb37-542e-b1cc-7b284d56272a,,AWS,https://console.aws.amazon.com/s3/buckets/as-dataquality?region=us-east-1,2023-12-26T15:04:55Z,as-dataquality,,,,,,as-dataquality,bucket,arn:aws:s3:::as-dataquality,us-east-1,US,,,,Active,482457381153,2024-12-10T13:21:49Z,,,,,,,,,,,,,,,,,True,False,False,False,PublicExposureInvalid,BucketRegionTypeMultiRegion,0.0,False,False,,,,,,as-dataquality##BUILTIN-492,DataCategoryFinancial,Business Unit,3,26,INFO,"[{""path"":""EDI-1074-Test_Data_NPI.csv"",""key"":""Organization_Name"",""value"":""**"",""evidenceId"":""d450fb765d798bb6b1eb16462e0e8bc5"",""contentSizeBytes"":875865}]"
9,48ae1348-1519-54a1-b034-b077288a7c8c,,NAMER_ENTERPRISE_CDQ_DONOTDELETE,DB_SERVER,[{'id': 'b827013d-e8f2-52ba-9903-eadf943ee9da'}],2024-11-12T20:40:33.207869Z,2024-12-12T11:13:01Z,Production,b827013d-e8f2-52ba-9903-eadf943ee9da,2024,48ae1348-1519-54a1-b034-b077288a7c8c,,AWS,,,i-07faaca25dffd6d4a##CloudPlatform/DBServer##/home/collibradq/owl/postgres/data,,,False,False,PostgreSQL,NAMER_ENTERPRISE_CDQ_DONOTDELETE,HostedTechnologyConfigurationDBServer,,us-east-1,US,,,0.0,,482457381153,2024-11-26T22:36:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i-07faaca25dffd6d4a##CloudPlatform/DBServer##/home/collibradq/owl/postgres/data##BUILTIN-177,DataCategoryFinancial,Credit Score,1,1,LOW,"[{""path"":""postgres.public.rule_repo"",""key"":""FICO"",""location"":""rule_description"",""value"":""3**"",""evidenceId"":""699e85c9b57a0e1fcc206d2553fa1af7""}]"
